year,word,frequency
2021,with,13918
2021,without,39
2021,worthless,27
2021,yield,279
2021,yrs,443
2022,$950,79
2022,$950.01,20
2022,($200,1
2022,($200.01,20
2022,($399,5090
2022,($400,13361
2022,($950,24541
2022,($950.01,20403
2022,(13,453
2022,(14-15,453
2022,(17yrs,282
2022,(dwoc),31
2022,(firearms,3
2022,(motorized,652
2022,(physical),1019
2022,(see,281
2022,(sexual,2
2022,(simple),564
2022,300,281
2022,abandonment,11
2022,abuse,1019
2022,access,144
2022,acts,125
2022,against,3
2022,aggravated,15914
2022,agnst,453
2022,aircraft,114
2022,all,13361
2022,and,10080
2022,anim,3
2022,animals,67
2022,annoying,282
2022,anus,141
2022,arrest,210
2022,arson,531
2022,assault,60131
2022,asslt,3
2022,attempt,1173
2022,attempted,2297
2022,auto,3
2022,b/w,141
2022,battery,19724
2022,"beastiality,",3
2022,between,2
2022,bigamy,3
2022,bike,1819
2022,"bikes,",652
2022,blocking,4
2022,blood,2
2022,boat,28
2022,bomb,119
2022,brandish,3494
2022,bribery,3
2022,"bunco,",2036
2022,burglary,28435
2022,"burglary,",917
2022,"calls,",1967
2022,calls/letters,119
2022,"cards,",73
2022,center,4
2022,child,1783
2022,chld,453
2022,church,13361
2022,coin,4
2022,commercial,105
2022,compliance,237
2022,computer,144
2022,conduct,169
2022,consent,31
2022,"consent,",245
2022,conspiracy,3
2022,contact,1176
2022,contempt,702
2022,contributing,14
2022,copulation,200
2022,counterfeit,27
2022,court,2280
2022,credit,73
2022,crime,1432
2022,criminal,5160
2022,crm,453
2022,cruelty,67
2022,damage,3
2022,deadly,13097
2022,defrauding,99
2022,discharge,612
2022,dishonest,14
2022,displayed,4768
2022,disrupt,2
2022,distribute),3
2022,disturbing,391
2022,document,895
2022,door,4
2022,driving,74
2022,"drugs,",2
2022,drunk,11
2022,dumping,21
2022,dwelling,426
2022,"embezzlement,",957
2022,emergency,2
2022,employee,14
2022,epo),2
2022,etc),652
2022,exposure,299
2022,extortion,465
2022,failure,428
2022,false,131
2022,felony,14235
2022,firearms,3
2022,"firearms(sale,display,manufacture",3
2022,firearms/shots,612
2022,fired,1152
2022,firefighter,66
2022,forcible,873
2022,forgery,874
2022,fraud,74
2022,frgn,245
2022,from,32416
2022,grand,12620
2022,homicide,392
2022,human,136
2022,identity,22186
2022,illegal,21
2022,imprisonment,89
2022,incest,2
2022,inciting,1
2022,indecent,299
2022,induction,4
2022,inhabited,426
2022,innkeeper/theft,99
2022,insurance,1
2022,intimate,14077
2022,involuntary,31
2022,kidnapping,265
2022,"letters,",1967
2022,lewd,4103
2022,lewd/lascivious,18
2022,lynching,7
2022,machine,4
2022,"manslaughter,",1
2022,minor,2
2022,miscellaneous,1429
2022,misdeameanor,5090
2022,motor,18023
2022,moving,287
2022,mutual,245
2022,nature,3
2022,neglect,281
2022,negligent,1
2022,obj,245
2022,object,502
2022,offender,237
2022,officer,227
2022,older),453
2022,one,141
2022,oral,200
2022,order,4702
2022,oth,141
2022,other,3090
2022,out,237
2022,over,20
2022,over),12292
2022,"over)excpt,guns,fowl,livestk,prod",8131
2022,"over,",13361
2022,owner,31
2022,pandering,25
2022,partner,14077
2022,peace,391
2022,peeping,100
2022,penetration,574
2022,penis,141
2022,pers,141
2022,person,1052
2022,petty,24935
2022,phone,119
2022,pickpocket,1016
2022,"pickpocket,",1
2022,pimping,19
2022,plain,11478
2022,police,833
2022,pornography,76
2022,possession/bombing,7
2022,property,3
2022,protective,2
2022,prowler,43
2022,purse,23
2022,"rape,",952
2022,reckless,43
2022,registrant,237
2022,relatives),2
2022,repair,3
2022,replica,3
2022,report,42
2022,resisting,210
2022,restraining,3122
2022,riot,1
2022,ro),1
2022,robbery,9118
2022,roll,11
2022,scare,119
2022,school,2
2022,"scooters,",652
2022,"services,",99
2022,servitude,31
2022,sex,342
2022,"sex,unlawful(inc",245
2022,sexual,1367
2022,shoplifting,5371
2022,shoplifting-grand,1232
2022,shots,540
2022,simple,30111
2022,snatching,23
2022,sodomy/sexual,141
2022,stalking,176
2022,stealing,96
2022,stolen,28800
2022,susp,453
2022,tap,8
2022,telephone,1970
2022,temporary,236
2022,the,391
2022,theft,61247
2022,"theft,",1027
2022,theft-grand,8131
2022,threatening,119
2022,threats,4768
2022,throwing,173
2022,till,8
2022,tom,100
2022,trafficking,136
2022,train,114
2022,trespassing,2754
2022,unauthorized,144
2022,under,114
2022,under),30332
2022,use,73
2022,vandalism,18451
2022,vandalisms),13361
2022,vehicle,57855
2022,"vehicle,",898
2022,violation,4699
2022,w.i.c.),281
2022,w/foreign,329
2022,weapon,8489
2022,"weapon,",12870
2022,weapons,7
2022,with,14153
2022,without,31
2022,worthless,21
2022,yield,428
2022,yrs,453
2023,$950,78
2023,$950.01,19
2023,($200,7
2023,($200.01,22
2023,($399,4603
2023,($400,13172
2023,($950,29537
2023,($950.01,20738
2023,(13,325
2023,(14-15,325
2023,(17yrs,250
2023,(dwoc),36
2023,(firearms,1
2023,(motorized,855
2023,(physical),1006
2023,(see,293
2023,(sexual,1
2023,(simple),560
2023,300,293
2023,abandonment,5
2023,abuse,1006
2023,access,95
2023,acts,101
2023,against,3
2023,aggravated,15822
2023,agnst,325
2023,aircraft,83
2023,all,13172
2023,and,8932
2023,anim,3
2023,animals,77
2023,annoying,250
2023,anus,113
2023,arrest,267
2023,arson,577
2023,assault,60234
2023,asslt,3
2023,attempt,1846
2023,attempted,2353
2023,auto,4
2023,b/w,113
2023,battery,20421
2023,"beastiality,",3
2023,between,1
2023,bigamy,2
2023,bike,1227
2023,"bikes,",855
2023,blocking,2
2023,blood,1
2023,boat,46
2023,bomb,109
2023,brandish,3604
2023,bribery,1
2023,"bunco,",2227
2023,burglary,28036
2023,"burglary,",1015
2023,"calls,",1856
2023,calls/letters,92
2023,"cards,",35
2023,center,2
2023,child,1735
2023,chld,325
2023,church,13172
2023,coin,8
2023,commercial,84
2023,compliance,178
2023,computer,95
2023,conduct,172
2023,consent,36
2023,"consent,",234
2023,conspiracy,9
2023,contact,1070
2023,contempt,610
2023,contributing,13
2023,copulation,156
2023,counterfeit,22
2023,court,2112
2023,credit,35
2023,crime,1618
2023,criminal,5015
2023,crm,325
2023,cruelty,77
2023,damage,1
2023,deadly,12874
2023,defrauding,97
2023,discharge,650
2023,dishonest,16
2023,disperse,1
2023,displayed,4686
2023,disrupt,4
2023,distribute),1
2023,disturbing,379
2023,document,873
2023,door,2
2023,driving,102
2023,"drugs,",1
2023,drunk,12
2023,dumping,14
2023,dwelling,314
2023,"embezzlement,",1026
2023,emergency,1
2023,employee,16
2023,epo),1
2023,etc),855
2023,exposure,289
2023,extortion,623
2023,failure,425
2023,false,148
2023,felony,14016
2023,firearms,1
2023,"firearms(sale,display,manufacture",1
2023,firearms/shots,650
2023,fired,1047
2023,firefighter,72
2023,forcible,842
2023,forgery,844
2023,fraud,38
2023,frgn,234
2023,from,30792
2023,grand,11678
2023,homicide,329
2023,human,111
2023,identity,13617
2023,illegal,14
2023,imprisonment,96
2023,incest,1
2023,inciting,20
2023,indecent,289
2023,induction,2
2023,inhabited,314
2023,innkeeper/theft,97
2023,insurance,3
2023,intimate,13871
2023,involuntary,27
2023,kidnapping,240
2023,"letters,",1856
2023,lewd,3884
2023,lewd/lascivious,16
2023,lynching,6
2023,machine,8
2023,"manslaughter,",2
2023,minor,1
2023,miscellaneous,1615
2023,misdeameanor,4603
2023,motor,17025
2023,moving,252
2023,mutual,234
2023,nature,3
2023,neglect,293
2023,negligent,2
2023,obj,234
2023,object,440
2023,offender,178
2023,officer,180
2023,older),325
2023,one,113
2023,oral,156
2023,order,4511
2023,oth,113
2023,other,3427
2023,out,178
2023,over,19
2023,over),12020
2023,"over)excpt,guns,fowl,livestk,prod",8740
2023,"over,",13172
2023,owner,36
2023,pandering,40
2023,partner,13871
2023,peace,379
2023,peeping,81
2023,penetration,505
2023,penis,113
2023,pers,113
2023,person,985
2023,petty,30002
2023,phone,92
2023,pickpocket,1246
2023,"pickpocket,",3
2023,pimping,21
2023,plain,11558
2023,police,792
2023,pornography,63
2023,possession/bombing,13
2023,property,1
2023,protective,1
2023,prowler,54
2023,purse,29
2023,"rape,",917
2023,reckless,66
2023,registrant,178
2023,relatives),1
2023,repair,4
2023,replica,1
2023,report,52
2023,resisting,267
2023,restraining,3008
2023,riot,20
2023,robbery,8688
2023,roll,12
2023,scare,109
2023,school,4
2023,"scooters,",855
2023,"services,",97
2023,servitude,27
2023,sex,262
2023,"sex,unlawful(inc",234
2023,sexual,1231
2023,shoplifting,10047
2023,shoplifting-grand,2060
2023,shots,397
2023,simple,30581
2023,snatching,29
2023,sodomy/sexual,113
2023,stalking,185
2023,stealing,102
2023,stolen,28906
2023,susp,325
2023,tap,15
2023,telephone,1857
2023,temporary,266
2023,the,379
2023,theft,57513
2023,"theft,",973
2023,theft-grand,8740
2023,threatening,92
